Question,Table_description ,label
How many American Indian or Alaska Native students enrolled for credit over the 12-month period are there?,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
What is the number of Native Hawaiian or Other Pacific Islander students?,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
What is the number of Native Hawaiian or Other Pacific Islander students?,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
What is the number of Native Hawaiian or Other Pacific Islander students?,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,1
What is the number of Native Hawaiian or Other Pacific Islander students?,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
What is the number of Native Hawaiian or Other Pacific Islander students?,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,0
What is the number of Native Hawaiian or Other Pacific Islander students?,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
What percentage of the total enrollment is Black or African American students?,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
What percentage of the total enrollment is Black or African American students?,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
What percentage of the total enrollment is Black or African American students?,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
What percentage of the total enrollment is Black or African American students?,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,1
What percentage of the total enrollment is Black or African American students?,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,0
What percentage of the total enrollment is Black or African American students?,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
How many institutions that have Non-degree/certificate-seeking students?,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
How many institutions that have Non-degree/certificate-seeking students?,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
How many institutions that have Non-degree/certificate-seeking students?,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
How many institutions that have Non-degree/certificate-seeking students?,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,1
How many institutions that have Non-degree/certificate-seeking students?,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,0
How many institutions that have Non-degree/certificate-seeking students?,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
What is the ratio of male to female students who enrolled for credit over the 12-month period have two or more races?,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
What is the ratio of male to female students who enrolled for credit over the 12-month period have two or more races?,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
What is the ratio of male to female students who enrolled for credit over the 12-month period have two or more races?,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,1
What is the ratio of male to female students who enrolled for credit over the 12-month period have two or more races?,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
What is the ratio of male to female students who enrolled for credit over the 12-month period have two or more races?,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,0
What is the ratio of male to female students who enrolled for credit over the 12-month period have two or more races?,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
How many male students who have unknown Race/ethnicity?,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
How many male students who have unknown Race/ethnicity?,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
How many male students who have unknown Race/ethnicity?,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
How many male students who have unknown Race/ethnicity?,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,1
How many male students who have unknown Race/ethnicity?,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,0
How many male students who have unknown Race/ethnicity?,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,0
How many institutions have Total students enrolled for credit of over 500?,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
How many institutions have Total students enrolled for credit of over 500?,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
How many institutions have Total students enrolled for credit of over 500?,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
How many institutions have Total students enrolled for credit of over 500?,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,1
How many institutions have Total students enrolled for credit of over 500?,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,0
How many institutions have Total students enrolled for credit of over 500?,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
How many hispanic or Latino students are there?,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
How many hispanic or Latino students are there?,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
How many hispanic or Latino students are there?,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,1
How many hispanic or Latino students are there?,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,1
How many hispanic or Latino students are there?,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,0
How many hispanic or Latino students are there?,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
List the colleges where men's admission are more than women's admissions,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
List the colleges where men's admission are more than women's admissions,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
List the colleges where men's admission are more than women's admissions,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
List the colleges where men's admission are more than women's admissions,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,1
List the colleges where men's admission are more than women's admissions,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,0
List the colleges where men's admission are more than women's admissions,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
Show institutions with the highest number of applicants,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
Show institutions with the highest number of applicants,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
Show institutions with the highest number of applicants,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
Show institutions with the highest number of applicants,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,1
Show institutions with the highest number of applicants,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,0
Show institutions with the highest number of applicants,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
List colleges with the most applications,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
List colleges with the most applications,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
List colleges with the most applications,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
List colleges with the most applications,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,1
List colleges with the most applications,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,0
List colleges with the most applications,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
Retrieve the colleges where admission test scpre are above 80,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
Retrieve the colleges where admission test scpre are above 80,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
Retrieve the colleges where admission test scpre are above 80,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
Retrieve the colleges where admission test scpre are above 80,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,1
Retrieve the colleges where admission test scpre are above 80,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,0
Retrieve the colleges where admission test scpre are above 80,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
Find institutions in California with more than 1000 applicants and an admissions rate of less than 30%,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
Find institutions in California with more than 1000 applicants and an admissions rate of less than 30%,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
Find institutions in California with more than 1000 applicants and an admissions rate of less than 30%,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
Find institutions in California with more than 1000 applicants and an admissions rate of less than 30%,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,1
Find institutions in California with more than 1000 applicants and an admissions rate of less than 30%,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,0
Find institutions in California with more than 1000 applicants and an admissions rate of less than 30%,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
"Find institutions with more women applicants than men applicants, but a higher admission rate for men applicants compared to women applicants.",This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
"Find institutions with more women applicants than men applicants, but a higher admission rate for men applicants compared to women applicants.",This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
"Find institutions with more women applicants than men applicants, but a higher admission rate for men applicants compared to women applicants.",This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
"Find institutions with more women applicants than men applicants, but a higher admission rate for men applicants compared to women applicants.",This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,1
"Find institutions with more women applicants than men applicants, but a higher admission rate for men applicants compared to women applicants.",This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,0
"Find institutions with more women applicants than men applicants, but a higher admission rate for men applicants compared to women applicants.",This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
Retrieve colleges with a secondary school GPA of 3 or higher in Massachusetts,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
Retrieve colleges with a secondary school GPA of 3 or higher in Massachusetts,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
Retrieve colleges with a secondary school GPA of 3 or higher in Massachusetts,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
Retrieve colleges with a secondary school GPA of 3 or higher in Massachusetts,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,1
Retrieve colleges with a secondary school GPA of 3 or higher in Massachusetts,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,0
Retrieve colleges with a secondary school GPA of 3 or higher in Massachusetts,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
"List colleges where the number of admissions is significantly higher than the number of applicants, in California",This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
"List colleges where the number of admissions is significantly higher than the number of applicants, in California",This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
"List colleges where the number of admissions is significantly higher than the number of applicants, in California",This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
"List colleges where the number of admissions is significantly higher than the number of applicants, in California",This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,1
"List colleges where the number of admissions is significantly higher than the number of applicants, in California",This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,0
"List colleges where the number of admissions is significantly higher than the number of applicants, in California",This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
list institutions in washington with good performance,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
list institutions in washington with good performance,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
list institutions in washington with good performance,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,1
